DaysSince5/19/06,SPY Raw,SPY ADJ,VIX,3Mo Interest Rate,SSVI eta,SSVI rho,VXST (estimate before 2/3/14)
509,156.22,119.20,16.67,0.040600,3.0589,-0.7163,16.40
510,155.47,118.63,18.88,0.041200,3.0528,-0.7199,19.12
511,156.33,119.29,17.73,0.042000,3.0467,-0.7235,17.71
514,155.01,118.28,19.25,0.043000,3.0283,-0.7343,19.58
515,153.78,117.34,20.02,0.042500,3.0222,-0.7379,20.52
516,154.25,117.70,18.54,0.040100,3.0161,-0.7522,18.70
517,153.69,117.27,18.50,0.037600,3.01,-0.7619,18.66
518,149.67,114.20,22.96,0.038600,3.0039,-0.7716,24.14
521,150.54,114.87,21.64,0.040000,2.9855,-0.8007,22.52
522,151.76,115.80,20.41,0.039800,2.9794,-0.8044,21.00
523,151.48,115.58,20.80,0.038500,2.9733,-0.8081,21.48
524,151.84,115.86,21.17,0.039400,2.9671,-0.8119,21.94
525,153.62,117.22,19.56,0.039600,2.961,-0.8156,19.96
528,154.13,117.61,19.87,0.040100,2.9427,-0.8268,20.34
529,153.06,116.79,21.07,0.039600,2.837,-0.8282,21.82
530,154.65,118.00,18.53,0.039400,2.8002,-0.8295,18.69
531,151.03,115.24,23.21,0.038100,2.7633,-0.8309,24.45
532,151.20,115.37,23.01,0.036100,2.7474,-0.8322,24.20
535,150.05,114.49,24.31,0.037100,2.6996,-0.8362,25.80
536,152.07,116.04,21.39,0.037600,2.7516,-0.8473,22.21
537,147.91,112.86,26.49,0.034900,2.8036,-0.837,28.48
538,147.16,112.29,26.16,0.033800,2.8556,-0.8268,28.08
539,145.14,110.75,28.50,0.032700,2.9076,-0.8166,30.96
542,143.70,109.65,31.09,0.032700,3.0636,-0.8278,34.14
543,148.08,112.99,24.10,0.035000,3.0438,-0.8353,25.54
544,147.67,112.68,25.94,0.034100,2.6425,-0.843,27.81
545,145.54,111.05,28.06,0.033000,2.6229,-0.8506,30.41
546,145.79,111.24,25.49,0.034000,2.6033,-0.8583,27.25
549,143.76,109.69,26.01,0.034000,2.5446,-0.8812,27.89
550,144.64,110.37,24.88,0.032500,2.5284,-0.8889,26.50
551,141.68,108.11,26.84,0.030900,2.5123,-0.8966,28.91
553,144.13,109.98,25.61,0.032300,2.4799,-0.9119,27.40
556,140.95,107.55,28.91,0.031300,2.4314,-0.9348,31.46
557,142.57,108.79,26.28,0.031600,2.4153,-0.9425,28.22
558,147.13,112.27,24.11,0.030500,2.3991,-0.9501,25.56
559,147.18,112.30,23.97,0.029900,2.3829,-0.9578,25.38
560,148.66,113.43,22.87,0.031500,2.3668,-0.9545,24.03
563,147.68,112.69,23.61,0.030600,2.3183,-0.9447,24.94
564,146.36,111.68,23.79,0.030700,2.3021,-0.9414,25.16
565,148.81,113.55,22.53,0.030700,2.286,-0.9382,23.61
566,150.94,115.17,20.96,0.030900,2.1727,-0.9349,21.68
567,150.91,115.15,20.85,0.031200,2.0595,-0.9282,21.55
570,152.08,116.04,20.74,0.030500,2.0672,-0.9198,21.41
571,147.91,112.86,23.59,0.029400,2.1153,-0.906,24.92
572,149.37,113.97,22.47,0.028800,2.1634,-0.9012,23.54
573,149.06,113.74,22.56,0.028700,2.2115,-0.8964,23.65
574,147.17,112.30,23.27,0.028800,2.1944,-0.8917,24.52
577,145.07,110.69,24.52,0.030700,2.1432,-0.8773,26.06
578,145.88,111.31,22.64,0.030400,2.1557,-0.8726,23.75
579,145.88,111.31,21.68,0.029100,2.1683,-0.8678,22.57
580,146.80,112.01,20.58,0.029200,2.1808,-0.863,21.21
581,148.13,113.63,18.47,0.030000,2.1933,-0.9186,18.62
584,149.23,114.47,18.60,0.033300,2.2309,-0.9576,18.78
586,149.55,114.72,18.66,0.033200,2.2559,-0.9938,18.85
